message_id,message_text,timestamp,forwarded_from,sender_role,category
d97f8c2e-1c7d-47b6-a817-04f0d37d516a,Meeting scheduled for 02-02-2026 at 9:30 AM to discuss urban planning.,2026-01-23T10:33:32.290232Z,+919189751417,Inspector,meeting
3d23180e-0b3f-44a1-916f-90c2bf2d7b46,Kindly prepare expenditure statement and send to Environment Department by 05-02-2026.,2026-01-26T20:51:32.298508Z,+919558897011,Inspector,instruction
8f968050-9bcb-44f5-b282-d8667a0347b0,documentation complete చేసి 03-02-2026 లోపు submit చేయండి.,2026-01-28T12:38:32.294391Z,+919593275912,Tahsildar,instruction
a17494de-cdb2-4921-b9e3-318fa476ccfd,Urgent వరద in Rayadurg. Immediate evacuation చేయండి.,2026-01-24T14:38:32.280548Z,+919827300420,Deputy Director,disaster_alert
63873e45-cd7f-44e2-bb78-2184bde6398c,report preparation completed successfully. 869 beneficiaries covered.,2026-01-24T08:17:32.301426Z,+919939071223,District Collector,status_update
c084ea63-2c4a-4673-b4a8-f4bf01debebe,Update on verification: on track. No issues.,2026-01-26T08:47:32.302591Z,+919661684690,Chief Engineer,status_update
2f8b554e-4131-472c-8c36-fa5629b7691e,For your information: project implementation.,2026-01-29T07:10:32.306536Z,+919147220739,Superintendent,fyi
b1d1b3fb-789b-4fd7-b9ac-a6544f8fe6d3,Request to verify attendance records and provide status update by 12-02-2026.,2026-01-22T15:07:32.297261Z,+919967038452,Project Director,instruction
d1971b9c-f759-46e1-bf5d-901b6096df5d,Flash flood warning for Kuppam mandal. Alert all villages immediately.,2026-01-28T11:34:32.279767Z,+919522213815,Department Secretary,disaster_alert
28e8f8dd-4891-4b43-ab90-bf18038a9afb,Drought హెచ్చరిక Chittoorలో. తక్షణ చర్య అవసరం.,2026-01-22T13:09:32.283403Z,+919901262545,District Collector,disaster_alert
6450d33b-36a7-4c2e-9af7-fc300b39f51a,documentation complete చేసి 05-02-2026 లోపు submit చేయండి.,2026-01-27T19:09:32.301303Z,+919368479090,Tahsildar,instruction
a5272eb5-8bb4-473e-9547-504616a8e7e0,Reminder: Coordination meeting tomorrow at 11:15 AM. Agenda: project implementation.,2026-01-25T14:43:32.290407Z,+919977106692,Superintendent,meeting
4843f32a-22e5-4d2c-b42a-581bff092f52,Flash flood warning for Achampet mandal. Alert all villages immediately.,2026-01-25T18:38:32.278141Z,+919755974596,District Collector,disaster_alert
4b6c430e-db3c-4051-bd12-ca407b508785,Alert: Heavy Heat wave expected in Gannavaram. Please take necessary precautions.,2026-01-26T13:54:32.279438Z,+919832615092,Inspector,disaster_alert
eb73ee16-a14d-47f3-adc5-1eb3512d2cd4,Notification: welfare schemes. For reference only.,2026-01-21T22:58:32.305926Z,+919060324679,Inspector,fyi
bd313de5-822d-420a-b8c7-611012ddbbc3,Alert: Heavy Fire expected in Kadiri. Please take necessary precautions.,2026-01-29T00:21:32.283482Z,+919532878608,Chief Engineer,disaster_alert
277068a2-eea1-490b-b1cf-65cc7598c815,Work on road construction is completed. No major issues reported.,2026-01-21T21:14:32.302289Z,+919544871824,Department Secretary,status_update
5cc48ab8-d03a-4642-8fd6-2010542955ee,report preparation completed successfully. 372 beneficiaries covered.,2026-01-24T06:18:32.304912Z,+919120672159,Mandal Officer,status_update
58c1f974-389c-4baa-9fef-aa5de74fc5c0,Please review and approve attendance records at the earliest.,2026-01-26T10:15:32.300022Z,+919644483725,Revenue Officer,instruction
5dd2c2a5-24c2-439f-8e04-c5287fa47238,Request to verify budget proposal and provide status update by 11-02-2026.,2026-01-22T00:27:32.296955Z,+919688513942,Deputy Director,instruction
8ab9d872-ffdb-43cf-8a97-d0f924e0a680,Attached: monthly report for your information.,2026-01-25T04:26:32.308118Z,+919622079066,Superintendent,fyi
70515cbf-92aa-4cec-9e0a-9671e184131d,తుఫాన్ damage reported in Vuyyuru. 0 casualties. Send rescue teams.,2026-01-22T05:14:32.278913Z,+919911041261,Revenue Officer,disaster_alert
49bdf101-58c5-4792-8950-a19c4e048e1f,Request to verify budget proposal and provide status update by 30-01-2026.,2026-01-21T20:04:32.300926Z,+919221708153,Chief Engineer,instruction
4867dcc5-4f5b-49d5-bec8-3e2fa6dc15b6,Drought హెచ్చరిక Putturలో. తక్షణ చర్య అవసరం.,2026-01-23T12:41:32.279192Z,+919426674066,District Collector,disaster_alert
1eabc9b1-bae3-4348-b3ff-baddf076a2ff,Please submit progress report by 10-02-2026. This is urgent.,2026-01-29T00:10:32.298467Z,+919270951421,Tahsildar,instruction
5ef50ab9-22ce-48fe-a7a6-f680a83b5dbb,Department meeting postponed to 02-02-2026 at 12:30 PM. Venue: Conference Hall.,2026-01-24T05:56:32.292760Z,+919911457579,Deputy Director,meeting
c11b3809-9993-45f3-b5ea-19bd658700db,Request to verify monthly report and provide status update by 05-02-2026.,2026-01-24T19:15:32.299684Z,+919286731568,Chief Engineer,instruction
9e1ce372-f705-4079-bbec-fc9d040900f2,Please submit progress report by 08-02-2026. This is urgent.,2026-01-25T10:01:32.294744Z,+919241185681,Assistant Commissioner,instruction
336a4292-e8f4-4393-8359-6a3baf88d01f,documentation completed successfully. 153 beneficiaries covered.,2026-01-21T23:12:32.301954Z,+919769230315,Department Secretary,status_update
6a76f855-d9dd-4fc1-8511-7e5468954c34,Urgent Drought in Visakhapatnam. Immediate evacuation చేయండి.,2026-01-25T01:46:32.281678Z,+919744213910,Chief Engineer,disaster_alert
f11234d2-624b-4dfe-a474-53bc8ad68515,Flash flood warning for Bobbili mandal. Alert all villages immediately.,2026-01-22T00:21:32.280714Z,+919095906679,Revenue Officer,disaster_alert
432c1b59-bafe-4e1f-8166-958a1e40a005,Request to reschedule meeting from 02-02-2026 to alternate date.,2026-01-26T19:46:32.287856Z,+919217520370,Project Director,meeting
958139a2-51b9-4b34-a2c9-db348e2aae79,Meeting on 08-02-2026 at 9:00 AM regarding budget allocation. Attendance mandatory.,2026-01-28T07:34:32.283569Z,+919232323220,Tahsildar,meeting
2878eeda-ab60-4e8e-b8f3-f1ce5ebb943a,Implement updated guidelines in Jaggaiahpet mandal. Report progress weekly.,2026-01-22T03:56:32.299230Z,+919372043283,Chief Engineer,instruction
0bfabcb4-e539-4a56-98d8-b350a5416dec,Please submit progress report by 11-02-2026. This is urgent.,2026-01-23T22:09:32.297003Z,+919126310193,Department Secretary,instruction
e34e8a1b-decb-4a55-ae99-02263bd255b1,Ensure data collection is completed before 12-02-2026. No extensions.,2026-01-21T18:34:32.299018Z,+919427608192,Mandal Officer,instruction
9a544e6b-97d5-47bc-832a-86b38bee6cee,19-02-2026న 2:45 PMకి మీటింగ్. దయచేసి హాజరు అవ్వండి.,2026-01-29T07:34:32.287452Z,+919313815170,Deputy Director,meeting
87c32eb3-d2d1-4b0e-ac30-010a70a089fc,Kindly prepare action taken report and send to Municipal Administration by 12-02-2026.,2026-01-24T16:43:32.296814Z,+919334699508,Superintendent,instruction
03971cd7-66e2-4a9e-b9fd-3001325cc5a4,Meeting scheduled for 01-02-2026 at 10:45 AM to discuss welfare schemes.,2026-01-22T17:08:32.288905Z,+919981617557,Inspector,meeting
3886e3c7-2ade-4707-b38f-cce6a0b47f9a,Please note: project implementation. No action required.,2026-01-22T20:22:32.307929Z,+919958860962,Deputy Director,fyi
1cb146b4-e6c9-4c4e-8f38-c8a86e9b5e36,Update on field survey: pending approval. Some delays.,2026-01-25T06:51:32.305315Z,+919291441762,Revenue Officer,status_update
893adf2d-d924-48d5-800b-c64c43be64c0,Reminder: Emergency meeting tomorrow at 12:45 PM. Agenda: budget allocation.,2026-01-23T10:38:32.285266Z,+919912079409,Joint Collector,meeting
8d8a416f-f3e9-41d4-b9e8-93a73f836914,Please note: road construction. No action required.,2026-01-25T12:44:32.308004Z,+919788574425,Joint Collector,fyi
c855cdb5-1c64-47a6-810d-3843e9daec1f,Work on agricultural support is in progress. No major issues reported.,2026-01-29T09:58:32.303587Z,+919832184569,District Collector,status_update
d21700e9-d924-43cc-a737-b7e8f1f576a6,Video conference scheduled for 16-02-2026 at 12:15 PM. Join link will be shared.,2026-01-23T23:06:32.287213Z,+919521985718,Mandal Officer,meeting
b2c090de-3b77-480f-9990-6a74046d2de3,Please review and approve monthly report at the earliest.,2026-01-29T06:52:32.298769Z,+919324378217,Joint Collector,instruction
c69d89f5-8cfd-4026-bd52-dcfc95987bc7,Critical: Storm situation in Tiruvuru. Relief measures needed urgently.,2026-01-28T01:27:32.282609Z,+919166238900,Department Secretary,disaster_alert
30d5f87b-bf95-40db-923a-1d601592403b,Critical: తుఫాన్ situation in Proddatur. Evacuation needed urgently.,2026-01-24T12:55:32.279398Z,+919917169051,Revenue Officer,disaster_alert
1111b7a1-e761-4895-93e9-d974ad56b7c0,Critical: Drought situation in Atmakur. Emergency response needed urgently.,2026-01-22T15:23:32.279542Z,+919102236637,Project Director,disaster_alert
ad0e542b-c88b-459f-a479-b7357f2a11a8,documentation complete చేసి 02-02-2026 లోపు submit చేయండి.,2026-01-24T12:07:32.299847Z,+919035071641,Mandal Officer,instruction
ba7f40ee-dc87-490b-80a8-6ec38d304050,field survey పూర్తయింది. రిపోర్ట్ attached.,2026-01-24T22:52:32.304794Z,+919625389846,Inspector,status_update
c2c5d44c-9575-41df-8a9f-d0b8978dbd74,scheme implementation completed successfully. 909 beneficiaries covered.,2026-01-23T12:51:32.303945Z,+919184948443,Mandal Officer,status_update
0c485814-d181-4186-9bf3-9455db785f6a,For your information: welfare schemes.,2026-01-24T00:17:32.307356Z,+919418323485,Joint Collector,fyi
8edd6d35-0ebf-4071-a54d-d9a0fb9dfed7,For your information: agricultural support.,2026-01-28T10:48:32.306497Z,+919558252113,Chief Engineer,fyi
10554375-1299-4aed-af65-459c091ea9ef,Please review and approve monthly report at the earliest.,2026-01-28T04:14:32.298808Z,+919535563020,Inspector,instruction
70905b29-fa78-4c45-a7c8-5472dee8a97a,Alert: Heavy Landslide expected in Narasaraopet. Please take necessary precautions.,2026-01-29T00:00:32.277602Z,+919415096694,Joint Collector,disaster_alert
02ff9b74-14fd-4ee5-b6f6-15446c1f14ef,Please review and approve monthly report at the earliest.,2026-01-27T11:24:32.300143Z,+919083600281,Project Director,instruction
e841f30c-d420-4b99-a14e-c20fafb03ee4,data collection పూర్తయింది. రిపోర్ట్ attached.,2026-01-26T21:44:32.302463Z,+919431406587,Joint Collector,status_update
73753d3f-bc22-41fc-936b-7905fbf95a78,For your information: welfare schemes.,2026-01-29T12:57:32.308309Z,+919199504918,Superintendent,fyi
f474b312-57ae-4e92-aec1-5473631dd84e,URGENT: Landslide alert in Yemmiganur. Immediate action required.,2026-01-29T10:01:32.278399Z,+919886022279,District Collector,disaster_alert
